iter	MultiClass
0	1.085560708
1	1.073881551
2	1.062297623
3	1.052119119
4	1.041992935
5	1.03200304
6	1.022461092
7	1.014125352
8	1.005687653
9	0.9983077797
10	0.9918810649
11	0.9837915248
12	0.9770569938
13	0.9713050125
14	0.9663322725
15	0.960796837
16	0.9556331977
17	0.9503355558
18	0.9451407061
19	0.9400978547
20	0.9360485706
21	0.9318141423
22	0.9286644376
23	0.9246989745
24	0.9209919574
25	0.9181169408
26	0.9149369071
27	0.9121164787
28	0.9089995617
29	0.9065259647
30	0.9033363309
31	0.9002441295
32	0.8970206411
33	0.8939836951
34	0.8915591951
35	0.889193502
36	0.8872206761
37	0.8849394171
38	0.8823769052
39	0.8802119174
40	0.8783585542
41	0.8765052552
42	0.8744914967
43	0.8724078529
44	0.8705882996
45	0.8686455637
46	0.8666898939
47	0.8649257836
48	0.8629326031
49	0.8612023982
50	0.8596108648
51	0.8579157327
52	0.8562450815
53	0.8542636089
54	0.8517459439
55	0.8498806069
56	0.8482015158
57	0.8467729403
58	0.8449271048
59	0.8434467585
60	0.8418190151
61	0.8395595855
62	0.8382308158
63	0.8367409981
64	0.8354424168
65	0.8338433078
66	0.8314889528
67	0.8300566943
68	0.8282532762
69	0.8269543248
70	0.8257083169
71	0.824245546
72	0.8227519765
73	0.8211099704
74	0.819577122
75	0.8185455527
76	0.817307759
77	0.8159706135
78	0.814687479
79	0.8135954876
80	0.8123639008
81	0.8113162264
82	0.8101581155
83	0.8088579157
84	0.8080185377
85	0.8069006697
86	0.8059234582
87	0.8047823555
88	0.803993527
89	0.802796565
90	0.8016008313
91	0.8006794862
92	0.7995976217
93	0.7981663838
94	0.7972675832
95	0.7960563166
96	0.7951730111
97	0.7941452534
98	0.7930369546
99	0.7918665854
100	0.7908421284
101	0.7899639628
102	0.7887385736
103	0.7880241743
104	0.7872621485
105	0.7861591345
106	0.7854583005
107	0.7845777296
108	0.7836645683
109	0.7828432936
110	0.7817403106
111	0.780354975
112	0.7796760038
113	0.7786894391
114	0.7778944531
115	0.7771195879
116	0.7762976544
117	0.7754777261
118	0.7744130273
119	0.7735995842
120	0.7725490918
121	0.7716278454
122	0.7709244463
123	0.7700251535
124	0.769197624
125	0.7683290504
126	0.7672305351
127	0.7664957795
128	0.7656462298
129	0.7649005631
130	0.7640823526
131	0.7632853029
132	0.7623775223
133	0.7617021661
134	0.7611052771
135	0.7604347383
136	0.7595486461
137	0.7589922658
138	0.7581689893
139	0.75756822
140	0.7569022345
141	0.7561489556
142	0.7553958391
143	0.7547415054
144	0.7541249902
145	0.7533330499
146	0.7527687518
147	0.751953081
148	0.7512430709
149	0.7506458653
150	0.7500033631
151	0.7493857652
152	0.74873681
153	0.7480583024
154	0.7473468453
155	0.7465553015
156	0.7455191883
157	0.7448101989
158	0.7442363389
159	0.7435541969
160	0.7425899411
161	0.7418913265
162	0.7412949619
163	0.7408084989
164	0.7403338581
165	0.73965765
166	0.7389298694
167	0.7376399542
168	0.73642875
169	0.7356704812
170	0.7350082535
171	0.7342753817
172	0.7337664022
173	0.7331721695
174	0.7325263842
175	0.7319418377
176	0.7313091494
177	0.7304574848
178	0.7298473494
179	0.7293056224
180	0.7286950189
181	0.7281880286
182	0.7274938925
183	0.7269558718
184	0.7263247165
185	0.7257443573
186	0.7251828006
187	0.7246613575
188	0.7241548744
189	0.7235116532
190	0.7229094048
191	0.7222968791
192	0.7219218021
193	0.7213410436
194	0.7206620006
195	0.7200661881
196	0.7194257156
197	0.7189277616
198	0.7184934337
199	0.718096367
200	0.7175882816
201	0.7170953385
202	0.7165398534
203	0.7159406756
204	0.7153765928
205	0.7150378311
206	0.7144502787
207	0.713527542
208	0.713043415
209	0.7123541757
210	0.7119672355
211	0.7112225989
212	0.7107760118
213	0.7101932976
214	0.7096204055
215	0.7091128171
216	0.7086239157
217	0.7081413443
218	0.7076964964
219	0.7073004331
220	0.7068458164
221	0.7063627823
222	0.7059870131
223	0.7056627333
224	0.7049828555
225	0.7045678454
226	0.7039690639
227	0.7034363807
228	0.7029629014
229	0.7025634463
230	0.7021728385
231	0.7018703281
232	0.7012797434
233	0.7008489184
234	0.7003948947
235	0.6997658276
236	0.6992426415
237	0.698620237
238	0.6982601482
239	0.6975371396
240	0.6969470134
241	0.6964367257
242	0.695929155
243	0.6953926926
244	0.6950184756
245	0.6946426534
246	0.6940538381
247	0.6937249121
248	0.6930248466
249	0.6925959119
250	0.6920943557
251	0.6916972402
252	0.6913166099
253	0.6909159095
254	0.6905075066
255	0.6902660785
256	0.6896829784
257	0.689326499
258	0.6885190983
259	0.6881112048
260	0.6876934103
261	0.6872620807
262	0.6867304214
263	0.6862217289
264	0.6855023461
265	0.6850888001
