iter	Passed	Remaining
0	105	52701
1	204	51033
2	308	51157
3	412	51129
4	515	51002
5	617	50804
6	722	50913
7	830	51072
8	934	50973
9	1042	51097
10	1153	51284
11	1264	51427
12	1372	51432
13	1479	51377
14	1589	51385
15	1691	51182
16	1806	51312
17	1908	51099
18	2010	50899
19	2115	50771
20	2220	50648
21	2326	50543
22	2429	50392
23	2532	50236
24	2634	50052
25	2731	49800
26	2843	49815
27	2947	49692
28	3052	49571
29	3155	49442
30	3257	49280
31	3358	49120
32	3464	49022
33	3562	48829
34	3666	48714
35	3767	48561
36	3874	48486
37	3977	48359
38	4083	48268
39	4187	48153
40	4294	48079
41	4401	47996
42	4507	47903
43	4613	47814
44	4713	47661
45	4819	47564
46	4928	47505
47	5045	47508
48	5163	47521
49	5283	47552
50	5399	47536
51	5506	47444
52	5606	47288
53	5718	47231
54	5822	47107
55	5930	47021
56	6039	46937
57	6139	46785
58	6241	46652
59	6346	46542
60	6454	46448
61	6565	46383
62	6668	46256
63	6775	46160
64	6880	46043
65	6983	45924
66	7090	45826
67	7197	45722
68	7306	45640
69	7412	45531
70	7516	45413
71	7617	45284
72	7719	45156
73	7827	45060
74	7931	44945
75	8032	44814
76	8134	44688
77	8233	44546
78	8334	44417
79	8436	44289
80	8537	44165
81	8642	44054
82	8747	43946
83	8855	43856
84	8962	43757
85	9065	43640
86	9167	43519
87	9274	43421
88	9377	43303
89	9479	43182
90	9579	43056
91	9680	42929
92	9782	42810
93	9882	42684
94	9988	42581
95	10097	42494
96	10201	42384
97	10307	42279
98	10412	42174
99	10514	42057
100	10615	41936
101	10720	41832
102	10823	41718
103	10927	41609
104	11033	41505
105	11136	41394
106	11242	41292
107	11342	41169
108	11453	41084
109	11562	40993
110	11671	40901
111	11780	40812
112	11888	40715
113	11995	40615
114	12098	40503
115	12203	40396
116	12307	40288
117	12417	40200
118	12520	40088
119	12624	39976
120	12726	39861
121	12826	39741
122	12933	39641
123	13047	39563
124	13154	39462
125	13261	39362
126	13367	39260
127	13474	39159
128	13574	39040
129	13676	38926
130	13779	38813
131	13886	38712
132	13994	38616
133	14100	38514
134	14205	38407
135	14304	38286
136	14407	38174
137	14512	38070
138	14617	37964
139	14724	37863
140	14831	37762
141	14935	37654
142	15040	37547
143	15143	37437
144	15244	37322
145	15347	37213
146	15448	37097
147	15550	36983
148	15652	36873
149	15756	36764
150	15858	36652
151	15971	36566
152	16078	36465
153	16193	36381
154	16306	36295
155	16410	36186
156	16516	36084
157	16623	35981
158	16731	35883
159	16842	35789
160	16950	35690
161	17058	35591
162	17167	35494
163	17278	35399
164	17401	35329
165	17510	35231
166	17619	35133
167	17725	35028
168	17831	34925
169	17935	34815
170	18038	34706
171	18147	34606
172	18258	34511
173	18361	34402
174	18466	34294
175	18567	34180
176	18670	34070
177	18775	33965
178	18888	33873
179	18993	33767
180	19102	33666
181	19213	33570
182	19326	33477
183	19429	33367
184	19535	33263
185	19639	33155
186	19744	33048
187	19854	32950
188	19955	32836
189	20063	32734
190	20165	32623
191	20274	32524
192	20381	32420
193	20490	32319
194	20595	32214
195	20703	32111
196	20809	32007
197	20917	31905
198	21024	31800
199	21128	31692
200	21233	31585
201	21341	31483
202	21447	31378
203	21554	31275
204	21676	31193
205	21785	31092
206	21898	30996
207	22007	30895
208	22112	30788
209	22216	30679
210	22324	30577
211	22437	30481
212	22542	30374
213	22645	30263
214	22746	30152
215	22853	30048
216	22959	29941
217	23067	29839
218	23177	29739
219	23285	29636
220	23394	29534
221	23506	29436
222	23608	29325
223	23714	29219
224	23825	29119
225	23936	29020
226	24041	28913
227	24146	28806
228	24253	28702
229	24358	28595
230	24469	28494
231	24583	28397
232	24690	28293
233	24801	28193
234	24913	28094
235	25023	27991
236	25131	27888
237	25236	27780
238	25348	27682
239	25454	27575
240	25573	27483
241	25681	27379
242	25788	27274
243	25903	27177
244	26015	27076
245	26127	26977
246	26244	26882
247	26356	26782
248	26465	26677
249	26576	26576
250	26686	26474
251	26796	26370
252	26909	26271
253	27018	26167
254	27124	26060
255	27234	25957
256	27340	25851
257	27449	25746
258	27564	25648
259	27687	25557
260	27803	25459
261	27910	25353
262	28015	25246
263	28126	25143
264	28237	25040
265	28353	24942
